genre,name,title,id_album_deezer,deezerFans
Pop,Adam Cohen,We Go Home,14404794.0,135.0
Electronica,Adam Freeland,Now & Them,550402.0,5.0
Electronica,Adam Freeland,Cope,550090.0,10.0
Pop,Adam Lambert,Trespassing,2602921.0,9880.0
Synthpop,Adam Lambert,The Original High,10572037.0,12316.0
Metalcore,Adamantium,Traditions,1148510.0,6.0
Comedy,Adam Sandler,They're All Gonna Laugh At You,81890.0,257.0
Comedy,Adam Sandler,What The Hell Happened To Me?,81921.0,210.0
Comedy,Adam Sandler,What's Your Name?,81927.0,146.0
Comedy,Adam Sandler,Stan And Judy's Kid,91414.0,169.0
Comedy,Adam Sandler,Shhh...Don't Tell,363403.0,372.0
Medieval,Adaro,Minnenspiel,1586121.0,29.0
Industrial,Ade Fenton,Artificial Perfect,460672.0,35.0
Soul,Adele,19,105781.0,103533.0
Pop,Adele,Live From SoHo,105781.0,103533.0
Soul,Adele,21,746059.0,646244.0
Pop,Adele,ITunes Festival: London 2011,746059.0,646244.0
Soul,Adele,Skyfall,11259262.0,66197.0
Soul,Adele,25,14880539.0,62405.0
Pop,Adel Tawil,Lieder,7044582.0,753.0
Rock,Adelitas Way,Getaway,12959340.0,387.0
Metalcore,Adestria,Gilded Hearts,7538731.0,518.0
Synthpop,Adicta,Shh,338802.0,71.0
Synthpop,Adicta,Miedo,252870.0,111.0
Synthpop,Adicta,Día De La Fiebre,252878.0,87.0
Deutschpunk,Adolar,Planet Rapidia,272396.0,11.0
Rock,Adolar,Die Kälte Der Neuen Biederkeit,6869249.0,91.0
Synthpop,Adolphson-Falk,Med Rymden I Blodet,4033451.0,8.0
Synthpop,Adolphson-Falk,From Here To Eternity,14987285.0,0.0
Synthpop,Adolphson-Falk,Över Tid Och Rum,4033461.0,15.0
Synthpop,Adolphson-Falk,I Nattens Lugn,4033471.0,6.0
Synthpop,Adolphson-Falk,Det Svåra Valet,4033481.0,3.0
Synthpop,Adolphson-Falk,81-87,4033451.0,8.0
Synthpop,Adolphson-Falk,Indigo,14987283.0,0.0
Synthpop,Adolphson-Falk,Samling,4033461.0,15.0
Dance,Adore Delano,Till Death Do Us Party,7833748.0,3053.0
Rock,Adrenalin,Road Of The Gypsy,6602851.0,39.0
Rock,Adrian Belew,Lone Rhino,1698075.0,20.0
Rock,Adrian Belew,Twang Bar King,1698075.0,20.0
Rock,Adrian Belew,Mr. Music Head,11056494.0,28.0
Rock,Adrian Belew,Young Lions,613631.0,203.0
Rock,Adrian Belew,Inner Revolution,85968.0,193.0
Rock,Adrian Belew,Here,11438390.0,44.0
Rock,Adrian Belew,Belewprints,11438390.0,44.0
Rock,Adrian Belew,Coming Attractions,11437740.0,26.0
Rock,Adrian Belew,Side One,13944382.0,3.0
Rock,Adrian Belew,Side Two,13944140.0,1.0
Rock,Adrian Belew,Side Three,13944374.0,3.0
Pop,Adriana Calcanhotto,Enguiço,1215605.0,1231.0
Pop,Adriana Calcanhotto,Senhas,1213001.0,4342.0
Pop,Adriana Calcanhotto,A Fábrica Do Poema,1213274.0,1833.0
Pop,Adriana Calcanhotto,Maritmo,1213602.0,1982.0
Pop,Adriana Calcanhotto,Público,1211078.0,5373.0
Pop,Adriana Calcanhotto,Cantada,1213023.0,1774.0
Brazilian,Adriana Calcanhotto,Maré,1211582.0,2829.0
Brazilian,Adriana Calcanhotto,Adriana Partimpim Dois,401006.0,745.0
Tango,Adriana Varela,Tangos,6993583.0,503.0
Tango,Adriana Varela,Maquillaje,6993583.0,503.0
Tango,Adriana Varela,Corazones Perversos,6999375.0,238.0
Tango,Adriana Varela,Vuelve El Tango,6997291.0,601.0
