_id,genre,id_artist,name,publicationDate,title,urlAlbum,id_album_deezer,deezerFans,language
ObjectId(5714debf25ac0d8aee374cc9),Dance,ObjectId(56d96a65cc2ddd0c0f6baf76),September,2007,Dancing Shoes,http://lyrics.wikia.com/September:Dancing_Shoes_%282007%29,417304.0,865,eng
ObjectId(5714debf25ac0d8aee374f77),Pop,ObjectId(56d96b06cc2ddd0c0f6bb069),Sha,2007,Kein Scheiss!,http://lyrics.wikia.com/Sha:Kein_Scheiss%21_%282007%29,312714.0,1117,deu
ObjectId(5714debf25ac0d8aee375014),Reggae,ObjectId(56d96b29cc2ddd0c0f6bb0b4),Shaggy,1993,Pure Pleasure,http://lyrics.wikia.com/Shaggy:Pure_Pleasure_%281993%29,312692.0,1155,eng
ObjectId(5714debf25ac0d8aee375015),Reggae,ObjectId(56d96b29cc2ddd0c0f6bb0b4),Shaggy,1994,Original Doberman,http://lyrics.wikia.com/Shaggy:Original_Doberman_%281994%29,620407.0,582,eng
ObjectId(5714debf25ac0d8aee375016),Reggae Fusion,ObjectId(56d96b29cc2ddd0c0f6bb0b4),Shaggy,1995,Boombastic,http://lyrics.wikia.com/Shaggy:Boombastic_%281995%29,7218081.0,1998,eng
ObjectId(5714debf25ac0d8aee375017),Reggae,ObjectId(56d96b29cc2ddd0c0f6bb0b4),Shaggy,1997,Midnite Lover,http://lyrics.wikia.com/Shaggy:Midnite_Lover_%281997%29,308956.0,519,eng
ObjectId(5714debf25ac0d8aee375018),Reggae,ObjectId(56d96b29cc2ddd0c0f6bb0b4),Shaggy,2000,Hot Shot,http://lyrics.wikia.com/Shaggy:Hot_Shot_%282000%29,118427.0,4088,eng
ObjectId(5714debf25ac0d8aee37501c),Reggae,ObjectId(56d96b29cc2ddd0c0f6bb0b4),Shaggy,2011,Shaggy & Friends,http://lyrics.wikia.com/Shaggy:Shaggy_%26_Friends_%282011%29,308956.0,519,eng
ObjectId(5714debf25ac0d8aee375063),Pop,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,1991,Magia,http://lyrics.wikia.com/Shakira:Magia_%281991%29,1422752.0,52677,spa
ObjectId(5714debf25ac0d8aee375065),Latin Pop,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,1996,Pies Descalzos,http://lyrics.wikia.com/Shakira:Pies_Descalzos_%281996%29,1422752.0,52677,spa
ObjectId(5714debf25ac0d8aee375066),Dance,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,1997,The Remixes,http://lyrics.wikia.com/Shakira:The_Remixes_%281997%29,7505914.0,74,spa
